Gold	Predictions	Probabilities	Filename
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Occitania']	[1.0, 2.0384178218524167e-14, 4.261078650501563e-18, 4.6003875080712416e-33, 8.770975061985277e-37]	g8Wzx-SNjPwZ_JieLuZdQw
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Centre-Loire Valley']	[1.0, 5.383021434743167e-16, 1.2562669068348037e-17, 6.3722304387103265e-34, 1.492484195648898e-34]	3VPPrdK40A14_xU043mQ_w
Occitania	"[""Provence-Alpes-Côte d'Azur"", 'New Aquitaine', 'Occitania', 'Grand Est', 'Hauts-de-France']"	[1.0, 6.901540428559672e-13, 3.32061513160474e-14, 1.5717151616512692e-15, 4.15281071854674e-24]	14CqE9I1-djsnd_AvjVCqw
Occitania	['New Aquitaine', 'Grand Est', 'Hauts-de-France', 'Centre-Loire Valley', 'Ile-de-France']	[1.0, 4.55405313459778e-08, 1.95270555281013e-08, 1.2515932769363653e-25, 1.607524266699054e-26]	6t-AQPKtpLJDDhlniiI07w
Occitania	['Hauts-de-France', 'New Aquitaine', 'Grand Est', 'Ile-de-France', 'Pays de la Loire']	[1.0, 1.6133314684196876e-09, 3.1666197984094036e-14, 3.6711624923477595e-19, 1.7985178641413694e-24]	fVUf9maxER7Zfkdfu6b8EQ
Occitania	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Centre-Loire Valley']	[0.9998329877853394, 0.0001670140482019633, 2.145868985975463e-12, 4.3842620222002676e-21, 2.06972186147163e-22]	IBnAp9Mbhek_NiZdPJTlIg
Occitania	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Centre-Loire Valley', 'Pays de la Loire']	[0.8654552102088928, 0.1345447599887848, 5.919965039014041e-12, 5.944483047182192e-16, 2.254794385365644e-21]	0bts8d-PRyzrzfVKugFbDg
Occitania	['Grand Est', 'New Aquitaine', 'Hauts-de-France', 'Occitania', 'Ile-de-France']	[1.0, 2.6905848425975987e-13, 3.726207519859218e-16, 2.553364786381751e-38, 7.291656559114186e-41]	l1jdngXgnEMoW63IZxUc2g
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Pays de la Loire']	[0.9992218017578125, 0.0007781311869621277, 3.117603362298469e-17, 5.18483580489503e-19, 7.953761567410387e-25]	hCvhhUQopxblowHXv5ByNQ
Occitania	"['Hauts-de-France', 'New Aquitaine', 'Grand Est', ""Provence-Alpes-Côte d'Azur"", 'Occitania']"	[0.9984148740768433, 0.0015849474584683776, 1.204199122639693e-07, 1.701378526552739e-20, 3.3792829658493817e-22]	chpHeOtBI6Zk7hWkV_SABw
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley', 'Ile-de-France']	[0.9999998807907104, 9.38718187626364e-08, 2.299481575976212e-22, 6.38637805321519e-31, 4.843104433862432e-31]	h4IbkyCZ5lS6b3MlIw4PzQ
Occitania	"['New Aquitaine', 'Hauts-de-France', 'Grand Est', 'Ile-de-France', ""Provence-Alpes-Côte d'Azur""]"	[0.9999865293502808, 1.3454047802952118e-05, 3.844453999590769e-08, 3.6485275841044044e-17, 3.069138956191503e-22]	VsibyRLoMI9Obw6SgwfcWw
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Pays de la Loire', 'Centre-Loire Valley']	[1.0, 1.8498628184815402e-09, 1.9270246411749392e-19, 2.6680221729236353e-32, 1.9029127364405785e-32]	BcYMD7KFOBbfQKXqFT9vRQ
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Normandy']	[0.9999983310699463, 1.6543963283766061e-06, 3.0766497682854776e-10, 2.0630092211902824e-14, 5.035446675014995e-24]	W_9EAbQAbqx2rPVeYrUwDg
Occitania	['New Aquitaine', 'Hauts-de-France', 'Occitania', 'Ile-de-France', 'Grand Est']	[0.9999991655349731, 8.260143431471079e-07, 5.053382712283394e-10, 2.4365799184758804e-19, 1.9085541391014305e-23]	89EA-uMlnm6DzMv8b1g4NA
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley', 'Pays de la Loire']	[1.0, 2.122092686230982e-16, 5.895196698066914e-18, 4.808627278592362e-30, 6.323090046752832e-37]	gsL3G3hM58a1w6jsZAZglg
Occitania	['Réunion', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Grand Est']	[0.9956480860710144, 0.00435155164450407, 3.788944695770624e-07, 2.302205232007637e-10, 3.313425651473717e-13]	nmzUrwhzIyIOUFWZY7XA8A
Occitania	['Bourgogne-Franche-Comté', 'New Aquitaine', 'Centre-Loire Valley', 'Pays de la Loire', 'Hauts-de-France']	[1.0, 1.8856574079961774e-09, 1.3415590253279541e-12, 4.949967370129933e-14, 6.223677282695826e-16]	48OyRZPuA8qSpQUgRaGcgA
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Normandy', 'Centre-Loire Valley']	[1.0, 1.5418441634551527e-08, 4.8099399463374937e-11, 2.0721686966687115e-15, 7.065083945946888e-17]	sNPfUKGH-dvqQf0AK1kG4A
Occitania	"['New Aquitaine', 'Occitania', ""Provence-Alpes-Côte d'Azur"", 'Hauts-de-France', 'Grand Est']"	[0.822939932346344, 0.15731507539749146, 0.019745048135519028, 1.7863931633856772e-14, 7.790610096326898e-15]	dIl49iXSPktBH87l38WEbQ
Occitania	['New Aquitaine', 'Grand Est', 'Hauts-de-France', 'Occitania', 'Corsica']	[1.0, 6.266817065281316e-10, 3.8527912956352883e-13, 2.80016433499966e-23, 9.984392150996709e-27]	AUaD0F6R28GJlg3uKOG7WA
Occitania	['Hauts-de-France', 'Normandy', 'Auvergne-Rhône-Alpes', 'New Aquitaine', 'Brittany']	[1.0, 2.813902533205237e-08, 1.5579784129471363e-09, 1.7898384163661518e-10, 1.1768331026741716e-14]	7mXnxkSxI6gdG6prYx5RvQ
Occitania	['Grand Est', 'New Aquitaine', 'Hauts-de-France', 'Bourgogne-Franche-Comté', 'Centre-Loire Valley']	[1.0, 1.9594574851566904e-09, 6.904933303733193e-14, 4.482898712286233e-17, 1.8689136666077064e-25]	vTQm_5Qc47TGvN2OtlPsBw
Occitania	"['Hauts-de-France', 'Auvergne-Rhône-Alpes', 'New Aquitaine', 'Grand Est', ""Provence-Alpes-Côte d'Azur""]"	[0.6544186472892761, 0.3455812931060791, 8.836039677717622e-10, 3.328775624366111e-17, 1.5674197450791793e-17]	g15EHlUSt_tY8Am1AW3f0g
Occitania	"['Hauts-de-France', 'New Aquitaine', 'Grand Est', 'Ile-de-France', ""Provence-Alpes-Côte d'Azur""]"	[1.0, 2.2257230780642345e-10, 1.020714571546957e-17, 1.109628759097144e-25, 8.393600979952073e-27]	CEOAiB4jw1oUeWEg5I_iwA
Occitania	"['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur""]"	[0.9999761581420898, 1.490030172135448e-05, 8.993468327389564e-06, 1.0247857244623351e-19, 8.125955728175743e-26]	sdZR3AGGxKO8-ZVEKPLKsw
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Pays de la Loire']	[0.999771773815155, 0.00022826017811894417, 1.947056204416528e-13, 9.797586732803593e-14, 6.594938970317879e-17]	TZaBksG5owcoBhtHLSLiuw
Occitania	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Occitania']	[0.9999992847442627, 7.6805270055047e-07, 3.347918209328782e-08, 1.8526897174971059e-28, 2.0656403632084548e-30]	6C3SEItJxBC4t4Y8OV2sxg
Occitania	['Hauts-de-France', 'Grand Est', 'Ile-de-France', 'Centre-Loire Valley', 'Bourgogne-Franche-Comté']	[0.9706652164459229, 0.029334815219044685, 1.1366774729305081e-14, 7.833348288498581e-18, 1.833421529293292e-19]	X0AhEf0wei1QyeiMU2Tofw
Occitania	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Centre-Loire Valley', 'Pays de la Loire']	[1.0, 2.0634192132718e-09, 1.0724851591086908e-19, 5.697044200270774e-24, 1.1329308474207576e-25]	8pbirIQQ4LPIHzLaYYPCPQ
Occitania	['New Aquitaine', 'Pays de la Loire', 'Brittany', 'Occitania', 'Corsica']	[1.0, 9.750504570416041e-11, 8.626051392734939e-19, 2.1315971018461293e-20, 1.5943016118448834e-20]	euDFItjJ_x0ywQyFacpv5A
Occitania	['Grand Est', 'Hauts-de-France', 'Ile-de-France', 'New Aquitaine', 'Auvergne-Rhône-Alpes']	[0.9512754082679749, 0.048724643886089325, 8.046931583528469e-15, 2.1846023611621448e-17, 2.3605312897033752e-26]	ifdR0pSJj7WeuysHREMLEA
Occitania	['Hauts-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Grand Est', 'Occitania']	[0.9999772310256958, 2.1703664970118552e-05, 1.076447688319604e-06, 7.21233375756622e-14, 7.823711402751767e-16]	U9WgU7P_TVCdij5XLerbJg
Occitania	['Hauts-de-France', 'Ile-de-France', 'New Aquitaine', 'Grand Est', 'Auvergne-Rhône-Alpes']	[1.0, 7.173449185463206e-15, 2.3693969915483288e-17, 2.2495293158750458e-25, 2.2319313424091114e-31]	0liZ33tSGzqvHRnVWR_Shg
Occitania	['Hauts-de-France', 'Grand Est', 'Ile-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté']	[1.0, 1.1680794109736325e-08, 2.656300873704609e-11, 8.949507801503387e-12, 3.599630320199003e-21]	5S2T-uXUe5fErG350BZOtw
Occitania	['Hauts-de-France', 'New Aquitaine', 'Grand Est', 'Centre-Loire Valley', 'Pays de la Loire']	[0.9999803304672241, 1.9522307411534712e-05, 1.5817954590602312e-07, 6.924542605979411e-10, 9.656768440446939e-12]	_5YVBR0oy5AtBKC1fOeWiA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Grand Est', 'Auvergne-Rhône-Alpes']	[0.9204829931259155, 0.07512328773736954, 0.003630409948527813, 0.0007633243803866208, 1.0657667456892561e-11]	r1DX7Rpyl_AHJSeHvpLk8Q
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Centre-Loire Valley', 'Ile-de-France']	[0.9999872446060181, 1.2782438716385514e-05, 1.2497554102708364e-09, 6.286462019996081e-19, 2.1942723506770734e-20]	iMvipFgkh3hFVqcjel_vlw
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Bourgogne-Franche-Comté']	[0.9999943971633911, 5.535577656701207e-06, 3.131654224830527e-08, 4.0700375140208964e-19, 2.971628353093422e-29]	dCcmSvph42V3ATXeT0p_zw
Auvergne-Rhône-Alpes	"['Hauts-de-France', 'Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur"", 'Bourgogne-Franche-Comté', 'Grand Est']"	[0.9999997615814209, 1.1238071095931446e-07, 7.101619559080063e-08, 2.2421378531589653e-08, 2.7151375592282534e-10]	B_BZQczhDLWjfM709HTh2w
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Normandy']	[0.9999719858169556, 1.5357281881733797e-05, 1.2665365829889197e-05, 4.5554993804985955e-11, 3.883688197673419e-19]	WMKfvtVWhIKOfUaN1ggXsA
Auvergne-Rhône-Alpes	['New Aquitaine', 'Auvergne-Rhône-Alpes', 'Occitania', 'Bourgogne-Franche-Comté', 'Hauts-de-France']	[0.9992152452468872, 0.0007847078377380967, 1.077638778212986e-08, 5.056206009435016e-10, 2.9168567561299596e-10]	0YMO1dG5oYzTFL37AVEFJA
Auvergne-Rhône-Alpes	['Bourgogne-Franche-Comté', 'Auvergne-Rhône-Alpes', 'Hauts-de-France', 'Pays de la Loire', 'New Aquitaine']	[0.9999852180480957, 1.3455672160489485e-05, 1.272640588467766e-06, 1.8206129312470232e-11, 5.480855027641118e-13]	4oNVAaFOkfN5Yh4m01wT1A
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Ile-de-France', 'Centre-Loire Valley', 'New Aquitaine', 'Grand Est']	[0.9401943683624268, 0.04919388145208359, 0.010372827760875225, 0.00016108076670207083, 7.43492491892539e-05]	aWqMIo69bSWIbWw4LHdIrg
Auvergne-Rhône-Alpes	['Bourgogne-Franche-Comté', 'New Aquitaine', 'Auvergne-Rhône-Alpes', 'Centre-Loire Valley', 'Occitania']	[0.8415165543556213, 0.15848343074321747, 7.109427269114121e-09, 8.522180877656993e-11, 9.684143271364645e-14]	Vd7b7ISKWj51QcyaYekaFQ
Auvergne-Rhône-Alpes	"['New Aquitaine', 'Hauts-de-France', 'Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur"", 'Grand Est']"	[0.9836127758026123, 0.015722030773758888, 0.0006625125533901155, 2.500092250556918e-06, 1.2909930546811665e-07]	hDsN3MaHdB6Lc-0ZkoYCxg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Normandy', 'Pays de la Loire', 'Bourgogne-Franche-Comté', 'Grand Est']	[1.0, 3.5947405949070623e-16, 5.976224829330771e-21, 1.0863308862489927e-22, 7.611196648558287e-24]	bi-EiROe1tealfaLHV5ahQ
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Centre-Loire Valley']	[0.9803926348686218, 0.019607357680797577, 2.1098176171082707e-14, 7.80362475756146e-15, 2.141952101598298e-17]	l8BvnbazRYxuwGfCon9KvQ
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Bourgogne-Franche-Comté', 'New Aquitaine', 'Ile-de-France']	[1.0, 2.5547821237009716e-12, 1.6694319388788887e-19, 6.209971737151153e-23, 1.5511815713619942e-25]	nuETEnc5efCcogpXCaPelg
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'Centre-Loire Valley', 'New Aquitaine', 'Normandy']	[1.0, 2.2773152252852924e-09, 7.092466960833916e-24, 1.700424964240472e-26, 2.3769508391480226e-29]	wiUKhkHV8QTM_mhy9FBLOw
Auvergne-Rhône-Alpes	"['Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur"", 'Grand Est', 'Réunion', 'Hauts-de-France']"	[1.0, 1.5745851887974394e-13, 1.1020700678100379e-16, 1.5612562568989242e-17, 3.707855707332729e-18]	cOvpgII5NIi-r3X5Gnd76A
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Ile-de-France', 'New Aquitaine', 'Normandy']	[1.0, 2.729094172870816e-10, 4.875110731772381e-11, 3.2874285069164265e-22, 2.567640865542121e-26]	Wyg9yHb7yM-O5ngjvbeW4A
Auvergne-Rhône-Alpes	['New Aquitaine', 'Grand Est', 'Hauts-de-France', 'Ile-de-France', 'Occitania']	[0.9340857863426208, 0.06591419130563736, 4.385323215672088e-10, 7.345773459310222e-17, 8.732457664755816e-29]	sJB6-IMFj_BXFTGLSdFxsw
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Bourgogne-Franche-Comté', 'Grand Est', 'Auvergne-Rhône-Alpes', 'New Aquitaine']	[0.9796332120895386, 0.01944088563323021, 0.0009248786373063922, 1.0435351214255206e-06, 5.864943371182343e-15]	VL0xUiZIJ1XTjPaZE2PzWQ
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Bourgogne-Franche-Comté', 'New Aquitaine', 'Ile-de-France']	[0.9990779161453247, 0.0008082962594926357, 0.00011320839985273778, 4.665844528517482e-07, 1.3090197300149136e-18]	43BJWPfFth2Mb5fJUXIVgg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Centre-Loire Valley']	[0.9998157620429993, 0.0001842168567236513, 3.1473914585689045e-09, 1.0533679894486308e-16, 2.5190866690120056e-21]	9kcBZgrC4FT9KCX6xvAt5g
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'Auvergne-Rhône-Alpes', 'New Aquitaine', 'Bourgogne-Franche-Comté']	[0.9997816681861877, 0.00021833529171999544, 5.3292417590000696e-08, 2.3422820110688406e-17, 2.470488636723843e-19]	B9FtRds2nWzrEwc8ozYu8Q
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Brittany']	[0.9833794236183167, 0.016620589420199394, 1.1626704043976588e-09, 5.435501081525981e-17, 3.021170067460608e-18]	En2RQQrZnp48KhHz2u5EjA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Brittany', 'Grand Est', 'New Aquitaine', 'Pays de la Loire']	[0.999996542930603, 1.7244493619728019e-06, 1.688826159806922e-06, 2.252081410247797e-09, 8.192334318045326e-16]	-c2fUB0HlMGbCStYZdHFeA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Bourgogne-Franche-Comté', 'Grand Est', 'New Aquitaine', 'Pays de la Loire']	[0.999847412109375, 0.00015251172590069473, 8.294498138187219e-16, 7.117430979133898e-16, 3.83800166948531e-22]	00KFzdyw_UeJvI6XOMrGqg
Auvergne-Rhône-Alpes	['New Aquitaine', 'Auvergne-Rhône-Alpes', 'Bourgogne-Franche-Comté', 'Grand Est', 'Hauts-de-France']	[0.6714769005775452, 0.3285225033760071, 5.693996172340121e-07, 1.5724661572846799e-09, 8.455938727003343e-10]	6CdzZWo5NAF2Dj7IlrWqlg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Pays de la Loire', 'Centre-Loire Valley', 'Normandy']	[0.6219210028648376, 0.37807852029800415, 4.882653570348339e-07, 8.587238559121246e-11, 7.184547401450914e-11]	UtZu1nubhMskqUcOaFD0SA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'New Aquitaine', 'Ile-de-France', 'Bourgogne-Franche-Comté']	[1.0, 1.1280717693296083e-08, 2.601541842329547e-15, 4.4466514586985904e-26, 1.5231915114791295e-28]	JPJdKVnBiRiS0aZmEEbxgg
Auvergne-Rhône-Alpes	"['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', ""Provence-Alpes-Côte d'Azur""]"	[0.9972193241119385, 0.0027719864156097174, 8.669159797136672e-06, 1.3095395878792715e-09, 8.067906735343301e-31]	BSdHFq0T0T8QUKSM_PKm2A
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Ile-de-France', 'Grand Est', 'New Aquitaine', 'Bourgogne-Franche-Comté']	[0.9999717473983765, 2.7901094654225744e-05, 3.3163934176627663e-07, 9.36951408946724e-19, 2.4881580778375084e-31]	_7iehIgSnOMDcSvxuVzaSg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Ile-de-France', 'Pays de la Loire', 'Grand Est', 'Centre-Loire Valley']	[1.0, 3.635464551621226e-08, 8.165216058841906e-09, 4.633979422408174e-09, 7.77238256394197e-12]	AMfmVGBevP-9AN8MVCN8Tg
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Centre-Loire Valley']	[0.8941613435745239, 0.10583847761154175, 7.035242077790826e-08, 1.3671957446378946e-12, 7.090970063731994e-13]	xjzqkLkvmwfTRirq7D3RSw
Auvergne-Rhône-Alpes	['Ile-de-France', 'Hauts-de-France', 'New Aquitaine', 'Grand Est', 'Auvergne-Rhône-Alpes']	[1.0, 1.0305467590399076e-09, 7.929543991215123e-21, 1.1073430627909916e-29, 1.877613847754241e-36]	jogNDRnNNyWue-dJt65CIw
Auvergne-Rhône-Alpes	['Grand Est', 'New Aquitaine', 'Hauts-de-France', 'Auvergne-Rhône-Alpes', 'Centre-Loire Valley']	[1.0, 3.1161735518370204e-12, 2.2434757231213492e-13, 2.9912608543283033e-16, 1.1272218005045987e-20]	CXN6QMS-se2C6uONnaEzLA
Auvergne-Rhône-Alpes	"[""Provence-Alpes-Côte d'Azur"", 'Hauts-de-France', 'New Aquitaine', 'Auvergne-Rhône-Alpes', 'Occitania']"	[0.9985926747322083, 0.0008355868048965931, 0.0005717193125747144, 6.561885612654805e-08, 1.22943037586358e-13]	g3CxYrW9gi0gi-IQCCmMfw
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Bourgogne-Franche-Comté']	[0.9690178036689758, 0.03098217211663723, 1.271384109102769e-10, 7.304204253587673e-26, 2.429859837320658e-26]	T-P_s4zsEf5gcMFr5yzf7g
Auvergne-Rhône-Alpes	['Grand Est', 'Bourgogne-Franche-Comté', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley']	[0.6573564410209656, 0.3404185175895691, 0.0022251198533922434, 3.8296199988963053e-08, 2.7299057117102735e-18]	_gMIHJ0UHm-PS7wnnnc_zA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Centre-Loire Valley', 'Normandy', 'Pays de la Loire']	[0.9999121427536011, 8.780524512985721e-05, 2.8387139644134307e-13, 2.4284513202438296e-13, 7.411906383847714e-19]	hxT4h-o7ZBf1Pp1iF_r0GQ
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Bourgogne-Franche-Comté', 'Auvergne-Rhône-Alpes', 'Occitania', 'New Aquitaine']	[0.9999983310699463, 1.6783478713477962e-06, 1.3383494312790845e-08, 2.8971232080010623e-09, 2.826836334457461e-11]	ejdP2oVItERTBcvnVL3-3w
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Ile-de-France', 'New Aquitaine', 'Grand Est', 'Centre-Loire Valley']	[1.0, 3.191024111615093e-10, 2.502082525543403e-12, 3.4469604864410606e-20, 2.128505086113013e-24]	bLRDFLI7V25KTbwH0k4QpA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Ile-de-France', 'New Aquitaine', 'Grand Est', 'Auvergne-Rhône-Alpes']	[0.9999979734420776, 2.017873384829727e-06, 4.491349851168565e-15, 1.052981398317548e-16, 4.985814699220622e-28]	mQqWwHCLXDfoXNBdUq0FFg
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley', 'Ile-de-France']	[1.0, 2.1445902779332338e-12, 4.162185699316568e-23, 5.212534811162022e-29, 3.865137896803168e-30]	vN5nMjvFqP4l2z1FZslmpw
Auvergne-Rhône-Alpes	"['Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur"", 'Hauts-de-France', 'New Aquitaine', 'Occitania']"	[0.9999951124191284, 4.879322659689933e-06, 1.0333446320842654e-09, 6.775827815497237e-11, 5.477600710117108e-15]	EuBCafObQyQVhRCUptZ8Sg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Centre-Loire Valley', 'Occitania']	[0.6065847277641296, 0.39117470383644104, 0.002240590751171112, 5.313102930705471e-13, 2.0268267583043928e-16]	wN1tEF2FotteG0LiAsksrg
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley', 'Ile-de-France']	[1.0, 3.9293410192264844e-10, 3.2597560236677424e-22, 7.707783643805996e-26, 6.62661195290178e-31]	VKviT4a3Frw0HdsnKIOHCw
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Centre-Loire Valley', 'Ile-de-France']	[1.0, 1.3001989183007182e-20, 3.520275765811628e-26, 2.875884566471738e-26, 2.3452780031514865e-33]	YjTBmge5TtwKNh8pQV2UMg
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'Pays de la Loire', 'Centre-Loire Valley', 'New Aquitaine']	[1.0, 1.7679665023639934e-11, 1.3752412869550407e-17, 2.339846641863285e-24, 6.251103294806404e-26]	yeePP7qcGmL_QntCxaWOCw
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Centre-Loire Valley', 'New Aquitaine', 'Ile-de-France']	[0.9998596906661987, 0.00014034357445780188, 2.377797394745307e-13, 2.375839054571255e-13, 4.625838003677234e-18]	TNv-eSs5ikyYgNTtlEmKmg
Auvergne-Rhône-Alpes	['Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Grand Est', 'Centre-Loire Valley']	[0.9999067783355713, 4.692111906479113e-05, 4.62726857222151e-05, 2.2168668554994932e-23, 5.8243059813336686e-33]	U0Q2WYKw3kBqOmQHkkuy2A
Auvergne-Rhône-Alpes	"['Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Auvergne-Rhône-Alpes', ""Provence-Alpes-Côte d'Azur""]"	[1.0, 1.2029575113814417e-09, 7.954028928558454e-12, 8.79633805438108e-15, 1.9783358824178252e-20]	Xar_HnkfAGCIbq7dQprAoA
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Ile-de-France', 'Centre-Loire Valley', 'New Aquitaine']	[0.6177504062652588, 0.38224950432777405, 5.572359285110906e-08, 2.256020755408636e-14, 3.1897496039302986e-22]	aXCF0G5mQnCDggkGO3d2vw
Auvergne-Rhône-Alpes	['Hauts-de-France', 'Grand Est', 'Bourgogne-Franche-Comté', 'New Aquitaine', 'Centre-Loire Valley']	[0.9999997615814209, 2.6472824288248376e-07, 6.047537137732206e-09, 5.769795448709591e-13, 1.0010297574633385e-16]	3ldCjhh-HDbUspijNv5R2Q
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', 'Auvergne-Rhône-Alpes']	[0.9949198365211487, 0.005080191418528557, 6.307941148586682e-12, 2.060823960889661e-15, 2.1456715868791406e-25]	2Wr7BOCqW1efKsrJw-Y09Q
Auvergne-Rhône-Alpes	['Hauts-de-France', 'New Aquitaine', 'Auvergne-Rhône-Alpes', 'Bourgogne-Franche-Comté', 'Grand Est']	[1.0, 1.881065581077479e-10, 2.0640065177823796e-12, 4.018145679466484e-13, 3.2248837660219517e-18]	4YqoAZHCBedlvRO8e9tT9A
Auvergne-Rhône-Alpes	['Auvergne-Rhône-Alpes', 'Hauts-de-France', 'Bourgogne-Franche-Comté', 'New Aquitaine', 'Grand Est']	[0.9998190999031067, 0.0001809689129004255, 1.3341136195776926e-08, 5.695303847670988e-14, 1.7070161812391717e-14]	IaTt0Mn7hyjDUpWPx_36MQ
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'Centre-Loire Valley', 'New Aquitaine', 'Pays de la Loire']	[0.9999556541442871, 4.4304339098744094e-05, 1.0051527610244193e-08, 1.8713432729240253e-16, 7.789154013118667e-22]	nTO4ICM-njBu78MOUOPrmw
Auvergne-Rhône-Alpes	"[""Provence-Alpes-Côte d'Azur"", 'Hauts-de-France', 'Auvergne-Rhône-Alpes', 'Bourgogne-Franche-Comté', 'Grand Est']"	[1.0, 2.39619023408022e-12, 5.2441869748641456e-14, 1.694313883256244e-17, 9.451051350398124e-19]	wA2QK3XUFZ5_D76hyZIIFw
Auvergne-Rhône-Alpes	['Grand Est', 'Hauts-de-France', 'Bourgogne-Franche-Comté', 'Auvergne-Rhône-Alpes', 'New Aquitaine']	[0.9999988079071045, 1.201879967993591e-06, 2.3882058552970875e-09, 2.7039161925104804e-13, 6.256806329449718e-16]	1yAU765_cI2RBw3fEQY-Uw
Auvergne-Rhône-Alpes	['Bourgogne-Franche-Comté', 'Hauts-de-France', 'New Aquitaine', 'Auvergne-Rhône-Alpes', 'Grand Est']	[0.6352072358131409, 0.3549298048019409, 0.009859687648713589, 3.2321206617780263e-06, 6.666036167501943e-09]	8_1q025FsXb_cWB9M0cTyQ
